"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
" MacArthur, John","El Redescubrimiento De La Predicación Expositiva",1,"220 Mac",1996,,"Predicación","Editoiral Caribe",
" Walvoord, John F. Zuck, Roy B.","El Conocimiento Bíblico. Un Comentario Expositivo Tomo 3 1Reyes-Ester",1,"222 Wal",1996,9686529780,"Ediciones las Américas",,
"Abuadili N. Josefina","Manual moderno de Correspondencia Empresarial","1","465.2 Abu",,,"Redacción de Correspondencia","Editorial Trillas México",
"Adams, Jay","Capacitados Para Restaurar",1,"269 Ada",1999,"[8476450834]","consejería","Editorial Clie (1999), Paperback",
"Adams, Jay","Libro de Casos del Consejero Cristiano","1","269 Ada","1999","[847645046X]","consejeria","Editorial Clie (1999), Paperback",
"Adams, Jay E.","Capacitado para orientar: Competent to Counsel",2,"269 Ada",1981,"[0825410002]","consejería","Editorial Portavoz (1981), Paperback, 328 pages",
"Adams, Jay Edgar","Tu Puedes Endulzar tu Amargo Matrimonio","1","269.3 Ada",,,"Matrimonio","Subcomisión Literatura Cristiana",
"Adams, Jay Edgar","Tu Puedes Librarte del Hábito de las Drogas","1","269.5 Ada",,,"Drogas","Subcomisión Literatura Cristiana",
"Adams, Jay Edward","Manual Del Consejero Cristiano","1","269 Ada","2008","[8472289230]","consejeria","Clie (2008), Paperback, 464 pages",
"Adams, Jay Edward","Perspicacia y Creatividad en el Arte de Aconsejar","1","269 Ada",,,"Consejería","Clie",
"Adams, Jay Edward","Tu Puedes Dejar de Preocuparte","1","269.1 Ada","1982",,"Preocupación","Subcomisión Literatura Cristiana",
"Adams, Jay Edward","Tu Puedes Derrotar la Ira","1","269.1 Ada","1982",,"Ira","Subcomisión Literatura Cristiana",
"Adams, Jay Edward","Tu Puedes Superar el Temor","1","269.1 Ada","1982",,"Temor","Subcomisión Literatura Cristiana",
"Adams, Jay Edward","Vida Cristiana en el Hogar","2","265.8 Ada","1990",1558830278,"hogar, familia, vida cristiana","Libros Desafío (1990), Paperback",
"Adler, Alfred","El Sentido de la Vida","1","258  Adl",,,"Psicología","Editorial Luis Miracle",
"Agustin, San","Confesiones","1","230 Agu","2006",9707321725,"apología","Editorial Prana (2006), Edition: Primera edición, Paperback, 213 pages",
"Airth, G. M.","Auxilio para Predicadores","1","252.1 Air",,,"Sermones","Librería Editorial Cristiana",
"Aland, Kurt","The Greek New Testament",1,"225 Ala",1983,"[3438051109]","Greek,languages,New Testament","American Bible Society (1983), Edition: 4th Rev, Vinyl Bound, 931 pages",
"Alenxander, David","Manual Biblico ilustrado","3","220.3 Ale",,,"referencia","Editorial Caribe",
"Alexander, Ralph","Ezequiel","1","224.4 Ale",,,"Ezequiel","Publicaciones Portavoz  Evangélico",
"Allen, Carlos","Guía de Estudios sobre: Estudios en el Nuevo Testamento","6","225   All",,,"Estudios sobre el Nuevo Testamento","Casa Bautista de Publicaciones",
